Date,Ticker,Open,High,Low,Close,Volume,VWAP,Transactions
2024-04-11,GOOG,158.34,161.1199,157.93,160.79,17841703.0,159.8751,243303
2024-04-12,GOOG,159.405,161.7,158.6,159.19,16989765.0,159.6335,228278
2024-04-15,GOOG,160.28,160.83,156.15,156.33,21140948.0,158.3122,286986
2024-04-16,GOOG,155.64,157.23,155.05,156.0,15413201.0,156.1726,225546
2024-04-17,GOOG,157.19,158.681,156.135,156.88,16237752.0,157.2719,233545
2024-04-18,GOOG,156.925,158.485,156.21,157.46,14016065.0,157.5455,221703
2024-04-19,GOOG,157.75,157.99,153.91,155.72,21479881.0,155.7945,266245
2024-04-22,GOOG,156.01,159.185,155.66,157.95,17243870.0,157.6098,228093
2024-04-23,GOOG,158.59,160.48,157.965,159.92,16100408.0,159.7359,209369
2024-04-24,GOOG,159.09,161.39,158.82,161.1,19468194.0,160.1318,271086
2024-04-25,GOOG,153.36,158.28,152.768,157.95,36197789.0,160.1519,512773
2024-04-26,GOOG,175.99,176.42,171.4,173.69,56300787.0,173.7381,658867
2024-04-29,GOOG,170.77,171.38,167.06,167.9,35914561.0,169.1655,427017
2024-04-30,GOOG,167.38,169.87,164.5,164.64,29420755.0,166.5324,311016
2024-05-01,GOOG,166.18,168.81,164.9,165.57,25204245.0,166.666,355991
2024-05-02,GOOG,166.67,168.53,165.69,168.46,17041119.0,167.5097,212692
2024-05-03,GOOG,169.54,169.85,164.98,168.99,22767056.0,167.7015,323177
2024-05-06,GOOG,169.22,169.9,167.89,169.83,15147906.0,168.9687,216521
2024-05-07,GOOG,170.12,173.47,170.0,172.98,21102434.0,172.3749,264466
2024-05-08,GOOG,170.75,171.9092,170.522,171.16,14569858.0,171.3126,166509
2024-05-09,GOOG,171.15,172.44,169.93,171.58,11937704.0,170.9415,171389
2024-05-10,GOOG,169.69,171.34,167.91,170.29,18740458.0,169.8498,263119
2024-05-13,GOOG,165.847,170.95,165.76,170.9,19648585.0,168.5387,269359
2024-05-14,GOOG,171.59,172.78,170.42,171.93,18729463.0,171.6778,229608
